hypothesis_id,event_id,ticker,name,quarter,date,direction,chg_pct,trade_amount,trade_amount_eok,amount_tag,flow_category,flow_tags,dart_tag,window_category,window_types,leading_signal,followup,has_usable_followup,needs_external_review,external_review_trigger,market_regime,source_file,dominant_followup,dominant_rate,usable_event_count,company_count,d1_return,d3_return,d5_return,d10_return,action_hint,entry_mode,hold_days,fee_bps,status,skip_reason,side,entry_date,exit_date,entry_price,exit_price,raw_return_pct,score_return_pct
H03,001510_2021_Q2_2021-04-07_up,001510,SK증권,2021_Q2,2021-04-07,up,21.253985122210416,532575644102.0,5325.75644102,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,True,B,유동성/저금리 후반장,00_기업별분석\SK증권\SK증권_2021_Q2_events.jsonl,상승실패,0.7333333333333333,15,11,-2.19,-7.45,-7.89,-8.33,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2021-04-08,2021-05-07,2292.0,2022.0,-11.780104712041883,11.480104712041882
H03,024060_2021_Q2_2021-05-13_up,024060,흥구석유,2021_Q2,2021-05-13,up,10.954063604240272,255395772260.0,2553.9577226,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,False,,유동성/저금리 후반장,00_기업별분석\흥구석유\흥구석유_2021_Q2_events.jsonl,상승실패,0.7333333333333333,15,11,-10.08,-6.79,-16.14,-11.46,추격매수 회피 후보,next_open,20.0,15.0,skip,ohlcv_cache_missing,,,,,,,
H03,025860_2021_Q2_2021-05-25_up,025860,남해화학,2021_Q2,2021-05-25,up,3.2573289902280145,16624182020.0,166.2418202,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|누적 배경형,있음,상승지속,True,True,B,유동성/저금리 후반장,00_기업별분석\남해화학\남해화학_2021_Q2_events.jsonl,상승실패,0.7333333333333333,15,11,2.31,1.68,3.05,5.68,추격매수 회피 후보,next_open,20.0,15.0,skip,ohlcv_cache_missing,,,,,,,
H03,034020_2021_Q2_2021-06-02_up,034020,두산에너빌리티,2021_Q2,2021-06-02,up,11.646207113629202,1444204713350.0,14442.0471335,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승지속,True,True,B,유동성/저금리 후반장,00_기업별분석\두산에너빌리티\두산에너빌리티_2021_Q2_events.jsonl,상승실패,0.7333333333333333,15,11,3.18,45.13,18.37,10.89,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2021-06-03,2021-07-01,21765.0,23985.0,10.19986216402482,-10.49986216402482
H03,047040_2021_Q2_2021-06-02_up,047040,대우건설,2021_Q2,2021-06-02,up,6.22754491017965,249827256290.0,2498.2725629,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승유지,True,True,B,유동성/저금리 후반장,00_기업별분석\대우건설\대우건설_2021_Q2_events.jsonl,상승실패,0.7333333333333333,15,11,0.56,1.35,0.79,-1.69,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2021-06-03,2021-07-01,8870.0,7880.0,-11.161217587373173,10.861217587373172
H03,034020_2021_Q2_2021-06-04_up,034020,두산에너빌리티,2021_Q2,2021-06-04,up,10.328809545495954,1184193888300.0,11841.938883,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,True,B,유동성/저금리 후반장,00_기업별분석\두산에너빌리티\두산에너빌리티_2021_Q2_events.jsonl,상승실패,0.7333333333333333,15,11,27.49,3.98,-5.38,0.6,추격매수 회피 후보,,,,skip,overlap_same_hypothesis_ticker,,,,,,,
H03,034020_2021_Q2_2021-06-07_up,034020,두산에너빌리티,2021_Q2,2021-06-07,up,27.49112523734832,2317903641100.0,23179.036411,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,True,B,유동성/저금리 후반장,00_기업별분석\두산에너빌리티\두산에너빌리티_2021_Q2_events.jsonl,상승실패,0.7333333333333333,15,11,-20.78,-26.88,-26.41,-19.37,추격매수 회피 후보,,,,skip,overlap_same_hypothesis_ticker,,,,,,,
H03,001440_2021_Q2_2021-06-22_up,001440,대한전선,2021_Q2,2021-06-22,up,15.765008760324672,1031539348720.0,10315.3934872,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,True,B,유동성/저금리 후반장,00_기업별분석\대한전선\대한전선_2021_Q2_events.jsonl,상승실패,0.7333333333333333,15,11,-14.42,-16.29,-18.29,,추격매수 회피 후보,next_open,20.0,15.0,ok,,avoid_long,2021-06-23,2021-07-21,32549.0,22780.0,-30.01321085133184,29.71321085133184
H03,047040_2021_Q2_2021-06-22_up,047040,대우건설,2021_Q2,2021-06-22,up,9.013398294762489,199890477100.0,1998.904771,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,True,B,유동성/저금리 후반장,00_기업별분석\대우건설\대우건설_2021_Q2_events.jsonl,상승실패,0.7333333333333333,15,11,-5.03,-3.24,-8.38,,추격매수 회피 후보,,,,skip,overlap_same_hypothesis_ticker,,,,,,,
H03,006340_2021_Q2_2021-06-24_up,006340,대원전선,2021_Q2,2021-06-24,up,7.744107744107742,582371391845.0,5823.71391845,거래대금급증,외국인기관동반매도,외국인기관동반매도|개인매수,DART공시동반,직접반응,직접 반응형|선반영형|누적 배경형,있음,상승실패,True,False,,유동성/저금리 후반장,00_기업별분석\대원전선\대원전선_2021_Q2_events.jsonl,상승실패,0.7333333333333333,15,11,0.94,-4.22,,,추격매수 회피 후보,next_open,20.0,15.0,skip,event_date_not_in_cache,,,,,,,
